VehicleCount,DetectorLength,PhaseDuration,CongestionLevel
0,45.019999999999996,15.0,0.75
2,45.0,40.0,0.75
6,45.019999999999996,40.0,0.75
6,45.0,40.0,0.75
4,45.019999999999996,40.0,0.75
6,45.0,40.0,0.75
3,45.019999999999996,40.0,0.75
6,45.0,40.0,0.75
2,45.019999999999996,40.0,0.75
6,45.0,40.0,0.75
5,45.019999999999996,40.0,0.75
6,45.0,40.0,0.75
4,45.019999999999996,40.0,0.75
6,45.0,40.0,0.75
5,45.019999999999996,40.0,0.75
6,45.0,40.0,0.75
5,45.019999999999996,40.0,0.75
6,45.0,40.0,0.75
6,45.019999999999996,40.0,0.75
6,45.0,40.0,0.75
3,45.019999999999996,40.0,0.75
6,45.0,40.0,0.75
3,45.019999999999996,40.0,0.75
6,45.0,40.0,0.75
2,45.019999999999996,40.0,0.75
