VehicleCount,DetectorLength,PhaseDuration,CongestionLevel
0,45.019999999999996,29.71452380952381,1
6,45.0,40.0,1
5,45.019999999999996,40.0,1
6,45.0,40.0,1
6,45.019999999999996,40.0,1
6,45.0,40.0,1
5,45.019999999999996,40.0,1
6,45.0,40.0,1
6,45.019999999999996,40.0,1
6,45.0,40.0,1
5,45.019999999999996,40.0,1
6,45.0,40.0,1
6,45.019999999999996,40.0,1
6,45.0,40.0,1
5,45.019999999999996,40.0,1
6,45.0,40.0,1
5,45.019999999999996,40.0,1
6,45.0,40.0,1
4,45.019999999999996,40.0,1
6,45.0,40.0,1
6,45.019999999999996,40.0,1
6,45.0,40.0,1
5,45.019999999999996,40.0,1
6,45.0,40.0,1
1,45.019999999999996,32.86785714285715,1
