intersection_id,state,phase_duration,current_phase_time
0,TLState.NSY,3,0.0
0,TLState.NSY,3,0.5
0,TLState.NSY,3,1.0
0,TLState.NSY,3,1.5
0,TLState.NSY,3,2.0
0,TLState.NSY,3,2.5
0,TLState.R,2,0.0
0,TLState.R,2,0.5
0,TLState.R,2,1.0
0,TLState.R,2,1.5
0,TLState.EWG,0,0.0
0,TLState.EWG,0,0.5
0,TLState.EWG,0,1.0
0,TLState.EWG,0,1.5
0,TLState.EWG,0,2.0
0,TLState.EWG,0,2.5
0,TLState.EWG,0,3.0
0,TLState.EWG,0,3.5
0,TLState.EWG,0,4.0
0,TLState.EWG,0,4.5
0,TLState.EWG,0,5.0
0,TLState.EWG,0,5.5
0,TLState.EWG,0,6.0
0,TLState.EWG,0,6.5
0,TLState.EWG,0,7.0
0,TLState.EWG,0,7.5
0,TLState.EWG,0,8.0
0,TLState.EWG,0,8.5
0,TLState.EWG,0,9.0
0,TLState.EWG,0,9.5
0,TLState.EWG,0,10.0
0,TLState.EWY,3,0.0
0,TLState.EWY,3,0.5
0,TLState.EWY,3,1.0
0,TLState.EWY,3,1.5
0,TLState.EWY,3,2.0
0,TLState.EWY,3,2.5
0,TLState.R,2,0.0
0,TLState.R,2,0.5
0,TLState.R,2,1.0
0,TLState.R,2,1.5
0,TLState.NSG,20,0.0
0,TLState.NSG,20,0.5
0,TLState.NSG,20,1.0
0,TLState.NSG,20,1.5
0,TLState.NSG,20,2.0
0,TLState.NSG,20,2.5
0,TLState.NSG,20,3.0
0,TLState.NSG,10,3.5
0,TLState.NSG,10,4.0
0,TLState.NSG,20,4.5
0,TLState.NSG,20,5.0
0,TLState.NSG,20,5.5
0,TLState.NSG,20,6.0
0,TLState.NSG,10,6.5
0,TLState.NSG,10,7.0
0,TLState.NSG,10,7.5
0,TLState.NSG,10,8.0
0,TLState.NSG,10,8.5
0,TLState.NSY,3,0.0
0,TLState.NSY,3,0.5
0,TLState.NSY,3,1.0
0,TLState.NSY,3,1.5
0,TLState.NSY,3,2.0
0,TLState.NSY,3,2.5
0,TLState.R,2,0.0
0,TLState.R,2,0.5
0,TLState.R,2,1.0
0,TLState.R,2,1.5
0,TLState.EWG,20,0.0
0,TLState.EWG,20,0.5
0,TLState.EWG,30,1.0
0,TLState.EWG,30,1.5
0,TLState.EWG,30,2.0
0,TLState.EWG,30,2.5
0,TLState.EWG,30,3.0
0,TLState.EWG,20,3.5
0,TLState.EWG,20,4.0
0,TLState.EWG,20,4.5
0,TLState.EWG,20,5.0
0,TLState.EWG,20,5.5
0,TLState.EWG,20,6.0
0,TLState.EWG,20,6.5
0,TLState.EWY,3,0.0
0,TLState.EWY,3,0.5
0,TLState.EWY,3,1.0
0,TLState.EWY,3,1.5
0,TLState.EWY,3,2.0
0,TLState.EWY,3,2.5
0,TLState.R,2,0.0
0,TLState.R,2,0.5
0,TLState.R,2,1.0
0,TLState.R,2,1.5
0,TLState.NSG,30,0.0
0,TLState.NSG,30,0.5
0,TLState.NSG,30,1.0
0,TLState.NSG,40,1.5
0,TLState.NSG,40,2.0
0,TLState.NSG,40,2.5
