VehicleCount,DetectorLength,PhaseDuration
1,45.019999999999996,10
4,45.0,40
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
3,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
1,45.0,10
1,45.019999999999996,10
2,45.0,20
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
4,45.0,40
2,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
2,45.0,20
3,45.0,30
2,45.019999999999996,10
1,45.0,10
2,45.0,20
2,45.019999999999996,20
3,45.0,30
3,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
1,45.0,10
1,45.019999999999996,10
2,45.0,20
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
4,45.0,40
3,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
1,45.019999999999996,10
3,45.0,30
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
2,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
1,45.0,10
1,45.019999999999996,10
2,45.0,20
1,45.019999999999996,10
2,45.0,20
3,45.019999999999996,30
4,45.0,40
3,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
3,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
1,45.019999999999996,10
3,45.0,30
1,45.019999999999996,10
1,45.0,10
2,45.0,20
2,45.019999999999996,20
4,45.0,40
3,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
2,45.0,20
2,45.0,20
2,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
2,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
1,45.019999999999996,10
4,45.0,40
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
3,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
1,45.0,10
1,45.019999999999996,10
2,45.0,20
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
4,45.0,40
2,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
2,45.0,20
3,45.0,30
2,45.019999999999996,10
1,45.0,10
2,45.0,20
2,45.019999999999996,20
3,45.0,30
3,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
1,45.0,10
1,45.019999999999996,10
2,45.0,20
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
4,45.0,40
3,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
1,45.019999999999996,10
3,45.0,30
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
2,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
1,45.0,10
1,45.019999999999996,10
2,45.0,20
1,45.019999999999996,10
2,45.0,20
3,45.019999999999996,30
4,45.0,40
3,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
3,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
1,45.019999999999996,10
3,45.0,30
1,45.019999999999996,10
1,45.0,10
2,45.0,20
2,45.019999999999996,20
4,45.0,40
3,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
2,45.0,20
2,45.0,20
2,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
2,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
1,45.019999999999996,10
4,45.0,40
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
3,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
1,45.0,10
1,45.019999999999996,10
2,45.0,20
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
4,45.0,40
2,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
2,45.0,20
3,45.0,30
2,45.019999999999996,10
1,45.0,10
2,45.0,20
2,45.019999999999996,20
3,45.0,30
3,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
1,45.0,10
1,45.019999999999996,10
2,45.0,20
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
4,45.0,40
3,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
1,45.019999999999996,10
3,45.0,30
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
2,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
1,45.0,10
1,45.019999999999996,10
2,45.0,20
1,45.019999999999996,10
2,45.0,20
3,45.019999999999996,30
4,45.0,40
3,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
3,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
1,45.019999999999996,10
3,45.0,30
1,45.019999999999996,10
1,45.0,10
2,45.0,20
2,45.019999999999996,20
4,45.0,40
3,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
2,45.0,20
2,45.0,20
2,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
2,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
1,45.019999999999996,10
4,45.0,40
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
3,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
1,45.0,10
1,45.019999999999996,10
2,45.0,20
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
4,45.0,40
2,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
2,45.0,20
3,45.0,30
2,45.019999999999996,10
1,45.0,10
2,45.0,20
2,45.019999999999996,20
3,45.0,30
3,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
1,45.0,10
1,45.019999999999996,10
2,45.0,20
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
4,45.0,40
3,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
1,45.019999999999996,10
3,45.0,30
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
2,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
1,45.0,10
1,45.019999999999996,10
2,45.0,20
1,45.019999999999996,10
2,45.0,20
3,45.019999999999996,30
4,45.0,40
3,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
3,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
1,45.019999999999996,10
3,45.0,30
1,45.019999999999996,10
1,45.0,10
2,45.0,20
2,45.019999999999996,20
4,45.0,40
3,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
2,45.0,20
2,45.0,20
2,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
2,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
1,45.019999999999996,10
4,45.0,40
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
3,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
1,45.0,10
1,45.019999999999996,10
2,45.0,20
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
4,45.0,40
2,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
2,45.0,20
3,45.0,30
2,45.019999999999996,10
1,45.0,10
2,45.0,20
2,45.019999999999996,20
3,45.0,30
3,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
1,45.0,10
1,45.019999999999996,10
2,45.0,20
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
4,45.0,40
3,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
1,45.019999999999996,10
3,45.0,30
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
2,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
1,45.0,10
1,45.019999999999996,10
2,45.0,20
1,45.019999999999996,10
2,45.0,20
3,45.019999999999996,30
4,45.0,40
3,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
3,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
1,45.019999999999996,10
3,45.0,30
1,45.019999999999996,10
1,45.0,10
2,45.0,20
2,45.019999999999996,20
4,45.0,40
3,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
2,45.0,20
2,45.0,20
2,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
2,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
1,45.019999999999996,10
4,45.0,40
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
3,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
1,45.0,10
1,45.019999999999996,10
2,45.0,20
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
4,45.0,40
2,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
2,45.0,20
3,45.0,30
2,45.019999999999996,10
1,45.0,10
2,45.0,20
2,45.019999999999996,20
3,45.0,30
3,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
1,45.0,10
1,45.019999999999996,10
2,45.0,20
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
4,45.0,40
3,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
1,45.019999999999996,10
3,45.0,30
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
2,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
1,45.0,10
1,45.019999999999996,10
2,45.0,20
1,45.019999999999996,10
2,45.0,20
3,45.019999999999996,30
4,45.0,40
3,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
3,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
1,45.019999999999996,10
3,45.0,30
1,45.019999999999996,10
1,45.0,10
2,45.0,20
2,45.019999999999996,20
4,45.0,40
3,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
2,45.0,20
2,45.0,20
2,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
2,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
1,45.019999999999996,10
4,45.0,40
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
3,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
1,45.0,10
1,45.019999999999996,10
2,45.0,20
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
4,45.0,40
2,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
2,45.0,20
3,45.0,30
2,45.019999999999996,10
1,45.0,10
2,45.0,20
2,45.019999999999996,20
3,45.0,30
3,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
1,45.0,10
1,45.019999999999996,10
2,45.0,20
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
4,45.0,40
3,45.019999999999996,20
2,45.019999999999996,20
2,45.0,20
1,45.019999999999996,10
3,45.0,20
1,45.019999999999996,10
3,45.0,30
1,45.019999999999996,10
1,45.0,10
2,45.0,20
3,45.019999999999996,30
3,45.0,30
2,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
1,45.0,10
1,45.019999999999996,10
2,45.0,20
1,45.019999999999996,10
2,45.0,20
3,45.019999999999996,30
4,45.0,40
3,45.019999999999996,20
1,45.019999999999996,10
1,45.0,10
